year,dividend,day
2003,0.4,13
2004,1.54,17
2005,1.53,18
2006,1.55,40
2007,1.5,119
2008,1.25,282
2009,0.25,1
2010,1,24
2011,0.9,1
2012,0.85,125
2013,1.1,30
2014,1.11,8
2015,1.4,202
2016,1.5,240
2017,1.42,110
2018,1.5,36
2019,1.7,105
2020,1.7,164
2021,1.58,49
